,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn,availability,coverage,coverageRange
301,Applied Animal Behaviour Science,24609,01681591,,Journal,1.0,01681591,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 42 issue: 3.', 'Scholars Portal': 'Available from 1995 volume: 42 issue: 3.'}","['1995 - present', '1995 - present']"
302,Chronobiology International,14409,07420528,15256073,Journal,1.0,15256073,Full-text available to present,"{'Scholars Portal': 'Available from 1984 volume: 1 issue: 1 until 2013 volume: 30 issue: 10.', 'Taylor & Francis Journals Complete': 'Available from 1984 volume: 1 issue: 1.'}","['1984 - 2013', '1984 - present']"
303,Mammalian Genome,18962,09388990,,Journal,1.0,09388990,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 8 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 2003.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1991 volume: 1 until 1995 volume: 6.', 'SpringerLink Historical Archives Medicine': 'Available from 1991 volume: 1 until 1995 volume: 6.', 'Scholars Portal': 'Available from 1991 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '2003 - 1 year ago', '1991 - 1995', '1991 - 1995', '1991 - present', '1997 - 1 year ago']"
304,Comparative Biochemistry and Physiology - C Pharmacology Toxicology and Endocrinology,15300154800,07428413,,Journal,1.0,07428413,"Full-text available, but not complete","{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 110 issue: 1 until 2000 volume: 127 issue: 3.', 'Scholars Portal': 'Available from 1995 volume: 110 issue: 1 until 2000 volume: 127 issue: 3.'}","['1995 - 2000', '1995 - 2000']"
305,Molecular Immunology,14156,01615890,,Journal,1.0,01615890,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 32 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 32 issue: 1.'}","['1995 - present', '1995 - present']"
306,Experimental Neurology,15598,00144886,,Journal,1.0,00144886,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 119 issue: 1.', 'Scholars Portal': 'Available from 1959 volume: 1 issue: 1.'}","['1993 - present', '1959 - present']"
307,Ecosphere,21100307458,,21508925,Journal,1.0,21508925,Full-text available to present,"{'Free E- Journals': 'Available from 2010 volume: 1 issue: 1.', 'DOAJ Directory of Open Access Journals': 'Available from 2010.'}","['2010 - present', '2010 - present']"
308,Forensic Science International,27743,03790738,,Journal,1.0,03790738,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'EBSCOhost CINAHL Complete': 'Available from 2012 volume: 221 until 2015 volume: 252.', 'Gale Cengage Academic OneFile': 'Available from 2004 until 2006.', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 70 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 70 issue: 1.', 'SciTech Premium Collection': 'Available from 2003.Most recent 2 month(s) not available.', 'Nursing & Allied Health Database': 'Available from 1997.Most recent 2 month(s) not available.'}","['2012 - 2015', '2004 - 2006', '1995 - present', '1995 - present', '2003 - 2 month ago', '1997 - 2 month ago']"
309,European Journal of Neuroscience,15550,0953816X,14609568,Journal,1.0,14609568,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1989 volume: 1 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 1998.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1989 volume: 1 issue: 1.'}","['1989 - present', '1998 - 1 year ago', '1989 - present']"
310,PLoS Genetics,4000151808,15537390,15537404,Journal,1.0,15537404,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2005.', 'EBSCOhost Academic Search Complete': 'Available from 2005.', 'Free E- Journals': 'Available from 2005 volume: 1.', 'Gale Cengage Academic OneFile': 'Available from 2006.', 'PubMed Central': 'Available from 2005 volume: 1.', 'SciTech Premium Collection': 'Available from 2005.'}","['2005 - present', '2005 - present', '2005 - present', '2006 - present', '2005 - present', '2005 - present']"
314,Renewable Energy,27569,09601481,18790682,Journal,1.0,18790682,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 6 issue: 1.', 'Scholars Portal': 'Available from 1991 volume: 1 issue: 1.'}","['1995 - present', '1991 - present']"
315,Journal of Biomedical Informatics,23706,15320464,,Journal,1.0,15320464,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 2001 volume: 34 issue: 1.', 'Scholars Portal': 'Available from 2001 volume: 34 issue: 1.'}","['2001 - present', '2001 - present']"
316,Autophagy,3900148405,15548627,15548635,Journal,1.0,15548635,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 2018 volume: 14 issue: 1.', 'Scholars Portal': 'Available from 2014 volume: 10 issue: 2.', 'PubMed Central': 'Available from 2008 volume: 4.Most recent 1 year(s) not available.'}","['2018 - present', '2014 - present', '2008 - 1 year ago']"
317,Journal of Environmental Quality,23375,00472425,15372537,Journal,1.0,15372537,"Full-text available, but not complete",{'SciTech Premium Collection': 'Available from 1997 until 2015.'},['1997 - 2015']
318,Bioscience Education,21100220137,,14797860,Journal,1.0,14797860,No full-text available,{},[]
320,BMC Ecology,13115,,14726785,Journal,1.0,14726785,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2001.', 'Gale Cengage Academic OneFile': 'Available from 2006.', 'PubMed Central': 'Available from 2001 volume: 1.', 'SciTech Premium Collection': 'Available from 2009.', 'SpringerOpen Free': 'Available from 2001.', 'BioMed Central Open Access Free': 'Available from 2001.'}","['2001 - present', '2006 - present', '2001 - present', '2009 - present', '2001 - present', '2001 - present']"
321,Journal of Arachnology,22540,01618202,,Journal,1.0,01618202,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2007.', 'Free E- Journals': 'Available from 1973 volume: 1 issue: 1.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 2005.', 'JSTOR Life Sciences Collection': 'Available from 1973 volume: 1 issue: 1.Most recent 2 year(s) not available.', 'Scholars Portal': 'Available from 1973 volume: 1 issue: 1.', 'BioOne Complete': 'Available from 2000.'}","['2007 - present', '1973 - 1 year ago', '2005 - present', '1973 - 2 year ago', '1973 - present', '2000 - present']"
322,X-Ray Spectrometry,24571,00498246,10974539,Journal,1.0,10974539,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 25 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 24 issue: 1.'}","['1996 - present', '1995 - present']"
323,Journal of International Wildlife Law and Policy,23416,13880292,15481476,Journal,1.0,15481476,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1998 volume: 1 issue: 1.', 'HeinOnline Law Journal Library': 'Available from 1998.Most recent 5 year(s) not available.', 'Scholars Portal': 'Available from 1998 volume: 1 issue: 1.'}","['1998 - present', '1998 - 5 year ago', '1998 - present']"
324,Journal of Coastal Conservation,27372,14000350,,Journal,1.0,14000350,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 3 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1995 volume: 1 issue: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 1995 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.', 'BioOne Complete': 'Available from 2002 until 2004.'}","['1997 - present', '1995 - 4 year ago', '1995 - present', '1997 - 1 year ago', '2002 - 2004']"
325,Evolutionary Biology,22105,00713260,,Journal,1.0,00713260,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2007 volume: 34 issue: 1.', 'Scholars Portal': 'Available from 2007 volume: 34 issue: 1.'}","['2007 - present', '2007 - present']"
327,Human Dimensions of Wildlife,5800173380,10871209,1533158X,Journal,1.0,1533158X,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997 volume: 2 issue: 1.', 'Scholars Portal': 'Available from 1996 volume: 1 issue: 1.'}","['1997 - present', '1996 - present']"
328,Energy,29348,03605442,,Journal,1.0,03605442,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 20 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 20 issue: 1.'}","['1995 - present', '1995 - present']"
329,Cell Reports,21100201068,,22111247,Journal,1.0,22111247,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2012.', 'Free E- Journals': 'Available from 2012 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2012 volume: 1 issue: 1.', 'Elsevier SD Cell Press': 'Available from 2012 volume: 1 issue: 1.'}","['2012 - present', '2012 - present', '2012 - present', '2012 - present']"
331,Evolutionary Ecology,21606,02697653,,Journal,1.0,02697653,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 11 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1987 volume: 1 until 1996 volume: 10.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1987 volume: 1 until 1996 volume: 10.', 'Scholars Portal': 'Available from 1987 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1987 - 1996', '1987 - 1996', '1987 - present', '1997 - 1 year ago']"
332,Reproductive Biology,69085,1642431X,,Journal,1.0,1642431X,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 2008 volume: 8 issue: 1.', 'Scholars Portal': 'Available from 2008 volume: 8 issue: 1.'}","['2008 - present', '2008 - present']"
333,Oikos,24674,00301299,16000706,Journal,1.0,16000706,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2000 volume: 88 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1949 volume: 1 issue: 1.Most recent 8 year(s) not available.', 'JSTOR Ecology & Botany II': 'Available from 1949 volume: 1 issue: 1.Most recent 8 year(s) not available.', 'Scholars Portal': 'Available from 2000 volume: 88 issue: 1.'}","['2000 - present', '1949 - 8 year ago', '1949 - 8 year ago', '2000 - present']"
334,North American Journal of Aquaculture,17719,15222055,15488454,Journal,1.0,15488454,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1999 volume: 61 issue: 1.', 'Scholars Portal': 'Available from 1999 volume: 61 issue: 1.', 'CRKN Wiley Online Library': 'Available from 1999 volume: 61 issue: 1.'}","['1999 - present', '1999 - present', '1999 - present']"
335,Psyche (New York),21100203931,00332615,16877438,Journal,1.0,16877438,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 1874.', 'EBSCOhost Academic Search Complete': 'Available from 2009.', 'Gale Cengage Academic OneFile': 'Available from 2011 until 2017.', 'SciTech Premium Collection': 'Available from 2009.'}","['1874 - present', '2009 - present', '2011 - 2017', '2009 - present']"
336,Journal of Chemical and Engineering Data,24158,00219568,15205134,Journal,1.0,15205134,Full-text available to present,"{'American Chemical Society Legacy Archive': 'Available from 1956 volume: 1 issue: 1 until 1995 volume: 40 issue: 6.', 'CRKN American Chemical Society Journals': 'Available from 1996 volume: 41 issue: 1.'}","['1956 - 1995', '1996 - present']"
337,Ecological Complexity,20289,1476945X,,Journal,1.0,1476945X,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 2004 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2004 volume: 1 issue: 1.'}","['2004 - present', '2004 - present']"
338,Endangered Species Research,10900153309,18635407,16134796,Journal,1.0,16134796,Full-text available to present,{'DOAJ Directory of Open Access Journals': 'Available from 2015.'},['2015 - present']
339,Waste Management,26490,0956053X,18792456,Journal,1.0,18792456,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 15 issue: 1.', 'Scholars Portal': 'Available from 1989 volume: 9 issue: 1.'}","['1995 - present', '1989 - present']"
344,Breast Cancer Research and Treatment,28766,01676806,15737217,Journal,1.0,15737217,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 42 issue: 1.', 'Gale Cengage Academic OneFile': 'Available from 2010.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Medicine': 'Available from 1981 volume: 1 until 1996 volume: 41.', 'Scholars Portal': 'Available from 1981 volume: 1 issue: 1.'}","['1997 - present', '2010 - 1 year ago', '1981 - 1996', '1981 - present']"
345,Preventive Veterinary Medicine,18838,01675877,,Journal,1.0,01675877,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 21 issue: 4.', 'Scholars Portal': 'Available from 1995 volume: 21 issue: 4.'}","['1995 - present', '1995 - present']"
346,Ozone: Science and Engineering,13656,01919512,15476545,Journal,1.0,15476545,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2002.Most recent 1 year(s) 6 month(s) not available.', 'Taylor & Francis Journals Complete': 'Available from 1997 volume: 19 issue: 1.', 'Scholars Portal': 'Available from 1996 volume: 18 issue: 1.'}","['2002 - 1 year ago', '1997 - present', '1996 - present']"
347,Journal of Applied Ichthyology,22536,01758659,14390426,Journal,1.0,14390426,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1985 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1985 volume: 1 issue: 1.'}","['1985 - present', '1985 - present']"
348,Frontiers in Zoology,130152,,17429994,Journal,1.0,17429994,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2004.', 'EBSCOhost Academic Search Complete': 'Available from 2004.', 'Free E- Journals': 'Available from 2004 volume: 1.', 'Gale Cengage Academic OneFile': 'Available from 2007.', 'PubMed Central': 'Available from 2004 volume: 1.', 'SciTech Premium Collection': 'Available from 2009.', 'SpringerOpen Free': 'Available from 2004.', 'BioMed Central Open Access Free': 'Available from 2004.'}","['2004 - present', '2004 - present', '2004 - present', '2007 - present', '2004 - present', '2009 - present', '2004 - present', '2004 - present']"
349,Leukemia and Lymphoma,26016,10428194,10292403,Journal,1.0,10292403,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 1998.Most recent 1 year(s) 6 month(s) not available.', 'Scholars Portal': 'Available from 1989 volume: 1 issue: 1 until 2014 volume: 55 issue: 1.', 'Taylor & Francis Journals Complete': 'Available from 1989 volume: 1 issue: 1.'}","['1998 - 1 year ago', '1989 - 2014', '1989 - present']"
350,Behavioural Processes,14288,03766357,18728308,Journal,1.0,18728308,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 33 issue: 3.', 'Scholars Portal': 'Available from 1976 volume: 1 issue: 1.'}","['1995 - present', '1976 - present']"
351,Cell Stress and Chaperones,29144,13558145,14661268,Journal,1.0,14661268,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2008 volume: 13 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1996 volume: 1 issue: 1.Most recent 2 year(s) not available.', 'PubMed Central': 'Available from 1996 volume: 1.Most recent 6 month(s) not available.', 'Scholars Portal': 'Available from 1996 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2005 until 2019.', 'BioOne Complete': 'Available from 2000 until 2007.'}","['2008 - present', '1996 - 2 year ago', '1996 - 6 month ago', '1996 - present', '2005 - 2019', '2000 - 2007']"
352,Parasites and Vectors,17500154721,,17563305,Journal,1.0,17563305,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2008.', 'EBSCOhost Academic Search Complete': 'Available from 2009.', 'Free E- Journals': 'Available from 2008 volume: 1.', 'Gale Cengage Academic OneFile': 'Available from 2008.', 'PubMed Central': 'Available from 2008 volume: 1.', 'SpringerOpen Free': 'Available from 2008.', 'BioMed Central Open Access Free': 'Available from 2009 volume: 1 issue: 1.'}","['2008 - present', '2009 - present', '2008 - present', '2008 - present', '2008 - present', '2008 - present', '2009 - present']"
353,Journal of Insects as Food and Feed,21100830759,,23524588,Journal,1.0,23524588,No full-text available,{},[]
354,Reviews in Fish Biology and Fisheries,23366,09603166,,Journal,1.0,09603166,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 7 issue: 1.', 'ABI/INFORM Collection': 'Available from 1997.Most recent 1 year(s) not available.', 'ABI/INFORM Global': 'Available from 1997.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1991 volume: 1 until 1996 volume: 6.', 'Scholars Portal': 'Available from 1991 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1997 - 1 year ago', '1997 - 1 year ago', '1991 - 1996', '1991 - present', '1997 - 1 year ago']"
355,Journal of Physiology,23478,00223751,14697793,Journal,1.0,14697793,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1997 volume: 498 issue: 1.', 'PubMed Central': 'Available from 1878 volume: 1.', 'Scholars Portal': 'Available from 1997 volume: 498 issue: 1.'}","['1997 - present', '1878 - present', '1997 - present']"
356,Cancer Cell,29093,15356108,18783686,Journal,1.0,18783686,Full-text available with embargo,{'Elsevier SD Cell Press': 'Available from 2002 volume: 1 issue: 1.Most recent 18 month(s) not available.'},['2002 - 18 month ago']
357,Cytotechnology,18523,09209069,15730778,Journal,1.0,15730778,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 23 issue: 1.', 'PubMed Central': 'Available from 1997 volume: 23.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1987 volume: 1 until 1996 volume: 22.', 'Scholars Portal': 'Available from 1987 volume: 1 issue: 1.'}","['1997 - present', '1997 - 1 year ago', '1987 - 1996', '1987 - present']"
358,Fisheries,12760,03632415,,Journal,1.0,03632415,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997 volume: 22 issue: 1.', 'Scholars Portal': 'Available from 1996 volume: 21 issue: 1.', 'CRKN Wiley Online Library': 'Available from 1997 volume: 22 issue: 1.'}","['1997 - present', '1996 - present', '1997 - present']"
359,Waterbirds,50120,15244695,,Journal,1.0,15244695,Full-text available to present,"{'JSTOR Life Sciences Collection': 'Available from 1999 volume: 22 issue: 1.Most recent 6 year(s) not available.', 'Scholars Portal': 'Available from 1999 volume: 22 issue: 1.', 'Gale Cengage Academic OneFile': 'Available from 2016.', 'BioOne Complete': 'Available from 2002.'}","['1999 - 6 year ago', '1999 - present', '2016 - present', '2002 - present']"
360,Frontiers in Neurology,21100212316,,16642295,Journal,1.0,16642295,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2010.', 'PubMed Central': 'Available from 2010 volume: 1.', 'Gale Cengage Academic OneFile': 'Available from 2015.'}","['2010 - present', '2010 - present', '2015 - present']"
361,Oncoscience,21100446518,,23314737,Journal,1.0,23314737,Full-text available to present,{'PubMed Central': 'Available from 2014 volume: 1.'},['2014 - present']
363,Behavioural Brain Research,14285,01664328,18727549,Journal,1.0,18727549,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 66 issue: 1.', 'Scholars Portal': 'Available from 1980 volume: 1 issue: 1.'}","['1995 - present', '1980 - present']"
365,Biochemistry and Molecular Biology Education,58622,14708175,15393429,Journal,1.0,15393429,Full-text available to present,"{'Scholars Portal': 'Available from 2000 volume: 28 issue: 4 until 2001 volume: 29 issue: 6.', 'CRKN Wiley Online Library': 'Available from 2000 volume: 28 issue: 4.'}","['2000 - 2001', '2000 - present']"
366,Immunogenetics,22271,00937711,14321211,Journal,1.0,14321211,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 45 issue: 3.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1974 volume: 1 until 1996 volume: 44.', 'SpringerLink Historical Archives Medicine': 'Available from 1974 volume: 1 until 1996 volume: 44.', 'Scholars Portal': 'Available from 1974 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2003.Most recent 1 year(s) not available.'}","['1997 - present', '1974 - 1996', '1974 - 1996', '1974 - present', '2003 - 1 year ago']"
367,Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,5200153114,19325223,19325231,Journal,1.0,19325231,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2007 volume: 307 issue: 1.', 'Scholars Portal': 'Available from 2012 volume: 317 issue: 4.'}","['2007 - present', '2012 - present']"
368,Lakes and Reservoirs: Research and Management,17567,13205331,14401770,Journal,1.0,14401770,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1995 volume: 1 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 1999.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1995 volume: 1 issue: 1.'}","['1995 - present', '1999 - 1 year ago', '1995 - present']"
369,Journal of the Royal Society Interface,4000151907,17425689,17425662,Journal,1.0,17425662,Full-text available with embargo,"{'Free E- Journals': 'Available from 2004 volume: 1 issue: 1.Most recent 1 year(s) not available.', 'Highwire Press Free': 'Available from 2004.Most recent 1 year(s) not available.', 'PubMed Central': 'Available from 2004 volume: 1.Most recent 1 year(s) not available.'}","['2004 - 1 year ago', '2004 - 1 year ago', '2004 - 1 year ago']"
370,F1000 Biology Reports,19700176055,17404118,1757594X,Journal,1.0,1757594X,Full-text available to present,"{'Free E- Journals': 'Available from 2009.', 'PubMed Central': 'Available from 2009 volume: 1 until 2013 volume: 5.'}","['2009 - present', '2009 - 2013']"
371,Environmental Health Perspectives,21003,00916765,15529924,Journal,1.0,15529924,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 1972.', 'EBSCOhost Academic Search Complete': 'Available from 1999.', 'EBSCOhost CINAHL Complete': 'Available from 2006.', 'Gale Cengage Academic OneFile': 'Available from 2000.', 'JSTOR Life Sciences Collection': 'Available from 1972 volume: 1 until 2012 volume: 120 issue: 12.', 'PubMed Central': 'Available from 1972 volume: 1.', 'SciTech Premium Collection': 'Available from 2013.', 'Nursing & Allied Health Database': 'Available from 2013.', 'ABI/INFORM Collection': 'Available from 2013.', 'ABI/INFORM Global': 'Available from 2013.'}","['1972 - present', '1999 - present', '2006 - present', '2000 - present', '1972 - 2012', '1972 - present', '2013 - present', '2013 - present', '2013 - present', '2013 - present']"
372,DNA Repair,17425,15687864,,Journal,1.0,15687864,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 2002 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2002 volume: 1 issue: 1.'}","['2002 - present', '2002 - present']"
373,Toxicological and Environmental Chemistry,25217,02772248,10290486,Journal,1.0,10290486,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997 volume: 58 issue: 1-4.', 'Scholars Portal': 'Available from 1996 volume: 53 issue: 1.'}","['1997 - present', '1996 - present']"
374,Plant Disease,60195,01912917,,Journal,1.0,01912917,Full-text available with embargo,"{'Free E- Journals': 'Available from 1980 volume: 64 issue: 1.Most recent 1 year(s) not available.', 'SciTech Premium Collection': 'Available from 2002 until 2005.'}","['1980 - 1 year ago', '2002 - 2005']"
375,Drugs in R and D,21264,11745886,11796901,Journal,1.0,11796901,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2002 until 2015.', 'Free E- Journals': 'Available from 2010 volume: 10 issue: 1.', 'Gale Cengage Academic OneFile': 'Available from 2010 until 2011.', 'PubMed Central': 'Available from 2010 volume: 10.', 'DOAJ Directory of Open Access Journals': 'Available from 2010.', 'SpringerOpen Free': 'Available from 2010.', 'SpringerLink Journals Adis Collection': 'Available from 1999 volume: 1 issue: 1.'}","['2002 - 2015', '2010 - present', '2010 - 2011', '2010 - present', '2010 - present', '2010 - present', '1999 - present']"
376,Cellular and Molecular Gastroenterology and Hepatology,21100386500,,2352345X,Journal,1.0,2352345X,Full-text available to present,"{'Scholars Portal': 'Available from 2015 volume: 1 issue: 1.', 'PubMed Central': 'Available from 2015 volume: 1.', 'DOAJ Directory of Open Access Journals': 'Available from 2015.'}","['2015 - present', '2015 - present', '2015 - present']"
378,International Journal on Algae,19130,15219429,,Journal,1.0,15219429,No full-text available,{},[]
379,International Journal of Developmental Biology,29499,02146282,,Journal,1.0,02146282,Full-text available with embargo,{'Free E- Journals': 'Available from 1989 volume: 33 issue: 1.Most recent 6 month(s) not available.'},['1989 - 6 month ago']
380,Bulletin of Entomological Research,19704,00074853,14752670,Journal,1.0,14752670,Full-text available to present,"{'CRKN Cambridge University Press Journals': 'Available from 1999 volume: 89 issue: 1.', 'Scholars Portal': 'Available from 2007 volume: 97 issue: 1.', 'SciTech Premium Collection': 'Available from 2001.Most recent 1 year(s) not available.'}","['1999 - present', '2007 - present', '2001 - 1 year ago']"
381,European Journal of Cell Biology,18531,01719335,,Journal,1.0,01719335,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1998 volume: 75 issue: 1.', 'Scholars Portal': 'Available from 1998 volume: 75 issue: 1.', 'SciTech Premium Collection': 'Available from 2001 until 2005.'}","['1998 - present', '1998 - present', '2001 - 2005']"
382,Aquatic Conservation: Marine and Freshwater Ecosystems,17182,10527613,10990755,Journal,1.0,10990755,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1997 volume: 7 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 5 issue: 1.'}","['1997 - present', '1995 - present']"
383,Agronomy Journal,15639,00021962,14350645,Journal,1.0,14350645,"Full-text available, but not complete",{'SciTech Premium Collection': 'Available from 2001 until 2015.'},['2001 - 2015']
384,Ecological Entomology,19779,03076946,13652311,Journal,1.0,13652311,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1976 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1976 volume: 1 issue: 1.'}","['1976 - present', '1976 - present']"
385,Journal of Biological Chemistry,17592,00219258,1083351X,Journal,1.0,1083351X,Full-text available to present,"{'American Society for Biochemistry and Molecular Biology [ASBMB Journals]': 'Available from 1905 volume: 1 issue: 1.', 'PubMed Central': 'Available from 2005 volume: 280.Most recent 1 year(s) not available.'}","['1905 - present', '2005 - 1 year ago']"
386,Journal of Computational Biology,29581,10665277,,Journal,1.0,10665277,"Full-text available, but not complete",{'Gale Cengage Academic OneFile': 'Available from 2007 until 2011.'},['2007 - 2011']
387,Biochimica et Biophysica Acta - Biomembranes,18406,00052736,,Journal,1.0,00052736,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 1233 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 1233 issue: 1.'}","['1995 - present', '1995 - present']"
388,Food Webs,21100365104,,23522496,Journal,1.0,23522496,Full-text available to present,"{'Elsevier SD Freedom Collection': 'Available from 2014 volume: 1 issue: 1.', 'CRKN Elsevier ScienceDirect': 'Available from 2014 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2014 volume: 1 issue: 1.'}","['2014 - present', '2014 - present', '2014 - present']"
